iteration,T_max
381,0.0007
382,-0.0771
383,-0.2233
384,-0.2109
385,-0.1549
386,-0.0699
387,-0.2783
388,-0.0699
389,-0.0699
390,0.0007
391,-0.2233
392,-0.2292
393,-0.0771
394,0.0825
395,0.0825
396,-0.2292
397,0.0825
398,-0.1416
399,-0.0699
400,-0.0771
401,0.0825
402,-0.2783
403,-0.2292
404,-0.0699
405,0.0007
406,-0.0771
407,-0.2109
408,-0.0699
409,-0.1416
410,-0.1549
411,-0.3033
412,-0.0771
413,-0.0771
414,-0.0699
415,-0.1549
416,-0.1549
417,-0.0771
418,-0.1416
419,0.0007
420,-0.2783
421,-0.2233
422,-0.2292
423,-0.2925
424,-0.0699
425,-0.0771
426,-0.2109
427,-0.3033
428,-0.0771
429,-0.3743
430,-0.2109
431,-0.2109
432,-0.0771
433,-0.2109
434,-0.2109
435,-0.1416
436,-0.0771
437,-0.1416
438,-0.1416
439,-0.1416
440,-0.2109
441,-0.1416
442,-0.1416
443,-0.1416
444,-0.0699
445,-0.0699
446,-0.0771
447,0.0007
448,-0.0771
449,-0.2233
450,-0.2233
451,-0.0771
452,-0.0699
453,-0.0771
454,0.0825
455,-0.0699
456,-0.0699
457,-0.1549
458,-0.1549
459,-0.1416
460,0.0825
461,-0.0771
462,-0.2233
463,-0.1416
464,0.0007
465,-0.1549
466,0.0825
467,-0.2292
468,-0.0699
469,-0.2109
470,-0.1549
471,0.0825
472,-0.2233
473,-0.0771
474,-0.0771
475,0.0007
476,-0.2292
477,-0.0771
478,-0.0699
479,-0.2292
480,-0.2109
481,-0.0699
482,-0.0771
483,0.0825
484,-0.3033
485,0.0825
486,-0.0699
487,-0.0771
488,-0.0771
489,-0.0771
490,-0.0771
491,-0.2233
492,-0.2783
493,-0.0771
494,-0.1416
495,-0.0771
496,-0.2292
497,-0.2292
498,-0.2109
499,-0.0771
500,-0.1416
501,-0.2109
502,-0.2233
503,-0.0771
504,-0.2292
505,-0.1416
506,-0.1416
507,-0.2925
508,-0.0771
509,-0.1416
510,-0.2292
511,-0.2783
512,-0.1416
513,-0.0771
514,-0.1416
515,-0.0771
516,-0.1549
517,-0.1549
518,-0.0771
519,-0.0771
520,-0.2109
521,0.0825
522,-0.0771
523,-0.0771
524,-0.1416
525,0.0007
526,-0.2109
527,-0.0771
528,-0.0771
529,-0.0771
530,-0.0771
531,-0.3598
532,0.0825
533,-0.0771
534,-0.0699
535,0.0007
536,-0.2233
537,-0.2233
538,0.0825
539,-0.1549
540,-0.2292
541,-0.0771
542,-0.2233
543,0.0007
544,-0.2233
545,-0.2292
546,-0.2292
547,-0.2783
548,-0.1549
549,-0.2109
550,-0.1549
551,0.0007
552,-0.1549
553,-0.2233
554,-0.0699
555,-0.2292
556,-0.2109
557,-0.1416
558,-0.2783
559,-0.1416
560,-0.0771
561,-0.0771
562,0.0825
563,0.0007
564,-0.2292
565,-0.1416
566,-0.2233
567,0.0007
568,-0.0771
569,-0.1549
570,-0.2292
571,0.0007
572,-0.1416
573,0.0825
574,-0.2233
575,-0.0699
576,0.0007
577,-0.2783
578,-0.0771
579,-0.0699
580,-0.0771
581,-0.0771
582,-0.0771
583,-0.1549
584,-0.0699
585,-0.0699
586,-0.2233
587,-0.0699
588,-0.0699
589,-0.1416
590,-0.2109
591,-0.0699
592,-0.1416
593,-0.0699
594,-0.3743
595,-0.0699
596,-0.2292
597,-0.2109
598,-0.0771
599,-0.0771
600,-0.2109
601,-0.0771
602,-0.0771
603,-0.2783
604,-0.0699
605,0.0007
606,-0.2292
607,-0.3033
608,-0.2292
609,-0.0771
610,-0.0771
611,-0.0699
612,-0.2109
613,-0.2109
614,-0.2109
615,-0.1416
616,0.0007
617,-0.0771
618,-0.1549
619,-0.2109
620,-0.0771
621,-0.1416
622,-0.0771
623,-0.2925
624,-0.1416
625,-0.0771
626,-0.2233
627,-0.0771
628,-0.0699
629,-0.0771
630,0.0007
631,-0.0771
632,0.0007
633,0.0825
634,-0.0699
635,0.0007
636,-0.2109
637,-0.1549
638,-0.0699
639,-0.2292
640,-0.0699
641,-0.1416
642,-0.1416
643,-0.2109
644,-0.3033
645,-0.1416
646,-0.2109
647,-0.2109
648,-0.0771
649,-0.1416
650,-0.0699
651,0.0007
652,-0.0699
653,-0.2109
654,-0.0699
655,-0.0699
656,-0.2925
657,-0.0699
658,-0.2109
659,-0.0699
660,-0.2233
661,0.0007
662,-0.1549
663,-0.0771
664,-0.1549
665,-0.0771
666,-0.2109
667,-0.2109
668,-0.2233
669,-0.2292
670,-0.2233
671,0.0007
672,-0.0771
673,0.0007
674,-0.2292
675,-0.0699
676,0.0007
677,-0.1416
678,-0.2109
679,-0.1549
680,-0.0699
681,-0.1416
682,-0.2925
683,-0.2233
684,-0.1549
685,-0.0699
686,-0.3033
687,-0.1416
688,-0.1549
689,-0.2292
690,-0.2109
691,-0.0771
692,-0.2233
693,-0.2233
694,-0.0771
695,-0.2233
696,-0.2292
697,-0.2109
698,-0.0771
699,-0.1549
700,-0.1416
701,-0.0771
702,-0.1416
703,-0.1549
704,-0.2292
705,-0.2109
706,0.0007
707,-0.2233
708,-0.0699
709,-0.2233
710,-0.1416
711,-0.0771
712,-0.0771
713,0.0007
714,-0.0699
715,-0.0699
716,-0.0771
717,-0.2109
718,-0.2109
719,-0.2233
720,-0.0771
721,-0.0771
722,0.0825
723,-0.0771
724,-0.0771
725,-0.1549
726,-0.1549
727,-0.0771
728,-0.1416
729,0.0007
730,-0.1416
731,-0.2109
732,0.0825
733,0.0007
734,-0.3033
735,-0.1549
736,-0.0699
737,-0.2925
738,-0.0699
739,0.0007
740,-0.2925
741,0.0007
742,-0.1416
743,-0.0771
744,-0.2233
745,-0.0771
746,-0.2292
747,-0.0699
748,-0.0771
749,-0.0771
750,-0.1549
751,-0.2109
752,-0.0699
753,-0.2233
754,-0.1416
755,-0.0771
756,-0.1416
757,-0.1416
758,-0.2292
759,-0.1416
760,-0.2109
761,-0.2109
762,-0.2292
763,-0.1416
764,-0.2109
765,0.0007
766,0.0825
767,0.0007
768,-0.2109
769,-0.2233
770,-0.0771
771,0.0825
772,0.0825
773,-0.2233
774,-0.2109
775,-0.0771
776,0.0825
777,-0.0771
778,-0.2109
779,-0.0771
780,0.0007
781,-0.0699
782,-0.2292
783,-0.0771
784,0.0825
785,-0.0699
786,0.0007
787,0.0825
788,-0.1549
789,-0.1416
790,-0.1549
791,-0.2292
792,-0.0699
793,-0.1416
794,-0.2292
795,0.0825
796,-0.0771
797,0.0825
798,-0.2233
799,-0.1549
800,-0.2783
801,-0.2292
802,-0.1549
803,-0.2233
804,-0.2292
805,-0.0699
806,-0.0771
807,0.0007
808,-0.0771
809,-0.0771
810,-0.2292
811,0.0825
812,0.0007
813,-0.0771
814,-0.0771
815,-0.1416
816,-0.1416
817,-0.1416
818,0.0825
819,-0.2292
820,-0.0699
821,-0.0699
822,-0.0699
823,-0.0699
824,0.0007
825,-0.0771
826,-0.0771
827,-0.2292
828,-0.1549
829,0.0007
830,-0.0771
831,-0.0771
832,-0.2292
833,-0.1416
834,-0.0699
835,-0.1549
836,-0.0771
837,-0.1549
838,-0.0771
839,-0.0699
840,-0.2109
841,-0.0771
842,-0.2109
843,-0.2292
844,-0.0771
845,-0.0771
846,-0.0771
847,0.0825
848,-0.2783
849,0.0825
850,-0.2292
851,0.0007
852,-0.1549
853,-0.0771
854,-0.0699
855,-0.2292
856,-0.1416
857,-0.1416
858,-0.0771
859,-0.1416
860,-0.0771
861,-0.0699
862,-0.1549
863,-0.2925
864,-0.1549
865,-0.2233
866,-0.0771
867,-0.2233
868,0.0007
869,-0.0771
870,-0.2292
871,-0.1549
872,0.0825
873,-0.0699
874,-0.2292
875,-0.2233
876,-0.2233
877,-0.0699
878,-0.0771
879,0.0825
880,-0.2233
881,-0.2109
882,0.0825
883,-0.2109
884,-0.2109
885,-0.0771
886,0.0007
887,-0.0699
888,0.0007
889,-0.2925
890,0.0007
891,0.0825
892,-0.1549
893,0.0007
894,-0.2783
895,-0.0771
896,-0.1416
897,-0.0771
898,-0.2109
899,-0.0699
900,-0.1416
901,0.0825
902,0.0007
903,-0.1416
904,-0.2109
905,-0.2292
906,-0.1549
907,-0.0771
908,-0.2292
909,-0.0699
910,-0.2109
911,-0.0771
912,-0.2783
913,-0.2233
914,-0.2233
915,-0.1416
916,0.0007
917,-0.0699
918,-0.0771
919,-0.2109
920,-0.2109
921,0.0007
922,-0.1549
923,-0.1549
924,-0.0771
925,-0.0699
926,-0.2109
927,-0.0699
928,-0.0771
929,-0.1549
930,-0.0699
931,-0.0771
932,-0.0699
933,0.0825
934,-0.1416
935,-0.0699
936,0.0007
937,-0.0699
938,-0.2292
939,-0.1416
940,-0.2233
941,-0.0771
942,-0.0771
943,-0.2109
944,-0.1416
945,-0.1549
946,-0.0771
947,-0.0699
948,-0.3033
949,-0.2109
950,-0.1549
951,-0.2783
952,-0.0699
953,-0.0699
954,-0.0771
955,-0.0771
956,0.0825
957,-0.2109
958,-0.2925
959,-0.0771
960,-0.0699
961,0.0825
962,-0.0699
963,-0.0771
964,-0.0699
965,-0.2292
966,-0.2109
967,-0.1416
968,-0.0771
969,-0.0771
970,-0.0771
971,-0.2783
972,-0.1416
973,-0.0771
974,-0.0771
975,-0.0771
976,-0.0699
977,-0.2292
978,-0.0771
979,-0.1549
980,-0.2109
981,0.0007
982,-0.1416
983,-0.0771
984,0.0007
985,0.0007
986,-0.1549
987,-0.0771
988,-0.1416
989,-0.0771
990,-0.0699
991,-0.0699
992,-0.0771
993,-0.2292
994,-0.0771
995,-0.0771
996,-0.0771
997,-0.0699
998,-0.2783
999,-0.2233
1000,-0.0771
1001,-0.2233
1002,-0.1416
1003,-0.2292
1004,-0.1416
1005,0.0825
1006,-0.0699
1007,-0.0699
1008,-0.0771
1009,-0.0771
1010,-0.1416
1011,-0.0771
1012,-0.2109
1013,0.0007
1014,-0.0699
1015,-0.1416
1016,-0.1416
1017,-0.1549
1018,-0.2925
1019,-0.2109
1020,-0.2292
1021,-0.0699
1022,-0.0771
1023,-0.2292
1024,-0.0699
1025,-0.0699
1026,-0.0771
1027,0.0007
1028,-0.2109
1029,-0.2233
1030,-0.2109
1031,0.0007
1032,-0.2109
1033,-0.0771
1034,-0.0699
1035,-0.0771
1036,-0.1549
1037,0.0007
1038,-0.2292
1039,-0.0771
1040,-0.2109
1041,-0.0699
1042,-0.0699
1043,-0.0771
1044,-0.0771
1045,-0.0699
1046,-0.0699
1047,-0.0699
1048,-0.2109
1049,-0.0699
1050,0.0825
1051,-0.0771
1052,-0.0771
1053,-0.0771
1054,-0.0699
1055,-0.2233
1056,0.0825
1057,-0.1549
1058,-0.0699
1059,-0.2783
1060,-0.2109
1061,-0.1416
1062,-0.2233
1063,-0.1416
1064,-0.2109
1065,-0.1549
1066,0.0825
1067,-0.2292
1068,0.0825
1069,-0.1416
1070,-0.2109
1071,-0.1416
1072,-0.1549
1073,-0.2109
1074,-0.0699
1075,0.0007
1076,-0.0699
1077,-0.0771
1078,-0.0699
1079,-0.1416
1080,-0.0699
1081,-0.0771
1082,0.0825
1083,-0.2292
1084,0.0007
1085,-0.0699
1086,-0.1549
1087,-0.2233
1088,-0.2109
1089,-0.2233
1090,-0.0771
1091,-0.1549
1092,-0.0771
1093,-0.0771
1094,-0.1416
1095,-0.1549
1096,-0.2109
1097,-0.2925
1098,-0.1416
1099,-0.1549
1100,-0.0771
1101,-0.2233
1102,-0.2292
1103,-0.1416
1104,-0.0699
1105,-0.0699
1106,0.0007
1107,-0.2109
1108,-0.2109
1109,-0.2233
1110,-0.2109
1111,-0.2109
1112,-0.1416
1113,-0.1549
1114,-0.1416
1115,-0.2233
1116,-0.0699
1117,-0.1416
1118,-0.0771
1119,-0.1416
1120,-0.1416
1121,-0.0771
1122,-0.1549
1123,-0.2109
1124,-0.0699
1125,-0.0771
1126,-0.1549
1127,-0.1416
1128,-0.2783
1129,-0.2109
1130,-0.0771
1131,-0.1416
1132,-0.1549
1133,-0.1416
1134,-0.1416
1135,0.0007
1136,-0.1549
1137,-0.2109
1138,-0.2109
1139,-0.2109
1140,-0.2109
1141,-0.2925
1142,-0.0699
1143,-0.1416
1144,-0.2783
1145,-0.1416
1146,-0.2109
1147,-0.2109
1148,-0.2292
1149,-0.0771
1150,-0.2233
1151,-0.1549
1152,-0.0699
1153,-0.2292
1154,-0.2233
1155,-0.0771
1156,-0.2292
1157,-0.1416
1158,0.0007
1159,0.0007
1160,-0.1549
1161,-0.1549
1162,-0.1549
1163,-0.0699
1164,0.0825
1165,-0.1549
1166,0.0007
1167,-0.0771
1168,-0.1416
1169,-0.2292
1170,-0.0699
1171,-0.2783
1172,-0.0699
1173,-0.2292
1174,-0.0699
1175,-0.0771
1176,-0.2233
1177,-0.2233
1178,-0.2783
1179,-0.2292
1180,-0.0771
1181,0.0825
1182,-0.0699
1183,0.0007
1184,-0.2109
1185,-0.0699
1186,-0.0771
1187,-0.0699
1188,0.0825
1189,0.0825
1190,-0.2109
1191,0.0825
1192,-0.0699
1193,-0.2109
1194,-0.1416
1195,-0.0699
1196,-0.0771
1197,-0.0771
1198,-0.0771
1199,-0.1416
1200,-0.1549
1201,-0.1416
1202,-0.2783
1203,-0.1416
1204,-0.2109
1205,-0.2925
1206,0.0825
1207,-0.2109
1208,-0.1549
1209,-0.2783
1210,-0.1416
1211,-0.2925
1212,-0.2109
1213,-0.2109
1214,-0.1416
1215,-0.2783
1216,-0.1416
1217,-0.2233
1218,-0.1416
1219,0.0825
1220,0.0007
1221,-0.0771
1222,-0.0771
1223,-0.1416
1224,-0.2783
1225,0.0007
1226,-0.2292
1227,-0.0699
1228,-0.1549
1229,-0.1549
1230,-0.1549
1231,-0.2109
1232,-0.2109
1233,-0.2292
1234,-0.2783
1235,-0.1416
1236,-0.0771
1237,0.0007
1238,-0.1416
1239,-0.2783
1240,-0.2292
1241,-0.2109
1242,-0.0699
1243,-0.0771
1244,-0.2109
1245,-0.1549
1246,-0.2233
1247,-0.0771
1248,-0.0771
1249,-0.0771
1250,-0.0771
1251,-0.1549
1252,-0.1549
1253,-0.0699
1254,-0.2233
1255,-0.1549
1256,-0.1416
1257,-0.0699
1258,-0.2292
1259,-0.2109
1260,-0.2109
1261,-0.0771
1262,-0.1549
1263,0.0007
1264,0.0007
1265,-0.2109
1266,-0.1549
1267,-0.1416
1268,0.0007
1269,-0.2109
1270,-0.0771
1271,-0.0699
1272,-0.2292
1273,-0.2925
1274,-0.0699
1275,-0.1416
1276,-0.0771
1277,-0.1549
1278,-0.2783
1279,-0.1416
1280,-0.0699
1281,0.0007
1282,-0.2109
1283,-0.1416
1284,0.0825
1285,-0.0699
1286,-0.0699
1287,-0.0771
1288,0.0825
1289,-0.2783
1290,-0.0771
1291,-0.0771
1292,0.0825
1293,-0.2292
1294,-0.0771
1295,-0.0771
1296,-0.0771
1297,-0.0771
1298,-0.1549
1299,0.0007
1300,-0.1416
1301,-0.2233
1302,-0.0771
1303,0.0007
1304,-0.2109
1305,-0.0699
1306,-0.0771
1307,0.0825
1308,-0.0771
1309,-0.2109
1310,-0.0699
1311,-0.1416
1312,-0.0699
1313,-0.0771
1314,-0.2233
1315,-0.1549
1316,-0.2109
1317,-0.0771
1318,-0.0699
1319,-0.2925
1320,-0.0771
1321,-0.0771
1322,-0.0699
1323,-0.0771
1324,-0.0771
1325,0.0007
1326,-0.3695
1327,-0.1549
1328,0.0007
1329,-0.0771
1330,-0.2233
1331,-0.0771
1332,-0.0771
1333,-0.1416
1334,-0.2233
1335,-0.3695
1336,-0.0771
1337,-0.0771
1338,-0.1549
1339,0.0825
1340,-0.1416
1341,-0.0699
1342,-0.0771
1343,-0.1416
1344,-0.0699
1345,-0.0699
1346,-0.0771
1347,0.0825
1348,-0.2109
1349,-0.0771
1350,-0.0771
1351,-0.1416
1352,-0.1549
1353,0.0825
1354,0.0825
1355,-0.2233
1356,-0.0771
1357,-0.0699
1358,-0.0771
1359,-0.0771
1360,0.0007
1361,-0.0771
1362,-0.1416
1363,-0.1549
1364,-0.0699
1365,-0.2233
1366,0.0007
1367,-0.0699
1368,0.0825
1369,-0.0771
1370,-0.3033
1371,-0.2292
1372,-0.1416
1373,-0.1416
1374,-0.0771
1375,-0.2109
1376,-0.1416
1377,-0.0699
1378,-0.1549
1379,-0.2292
1380,-0.1416
1381,-0.1416
1382,-0.2292
1383,-0.1416
1384,-0.0771
1385,-0.1416
1386,-0.0699
1387,-0.2233
1388,-0.2292
1389,-0.0771
1390,-0.1416
1391,0.0007
1392,0.0825
1393,-0.1416
1394,-0.0699
1395,-0.0771
1396,-0.0699
1397,-0.0699
1398,0.0007
1399,-0.2292
1400,-0.1549
1401,-0.1416
1402,-0.1549
1403,-0.1416
1404,-0.0699
1405,-0.2925
1406,-0.1549
1407,-0.1416
1408,0.0007
1409,-0.0771
1410,-0.0771
1411,-0.2109
1412,-0.0699
1413,-0.2109
1414,-0.0699
1415,-0.2109
1416,-0.0699
1417,-0.2292
1418,-0.0699
1419,-0.1549
1420,-0.0699
1421,-0.0771
1422,-0.0699
1423,-0.0771
1424,-0.0699
1425,-0.2109
1426,-0.0699
1427,-0.2233
1428,0.0825
1429,-0.2109
1430,-0.1549
1431,-0.2109
1432,-0.0699
1433,-0.0699
1434,-0.2292
1435,0.0007
1436,-0.1416
1437,0.0007
1438,0.0825
1439,-0.1416
1440,-0.1549
1441,0.0007
1442,-0.2233
1443,0.0007
1444,-0.0771
1445,-0.0771
1446,-0.0699
1447,-0.1416
1448,-0.0771
1449,-0.1416
1450,-0.0771
1451,-0.0771
1452,-0.1549
1453,-0.0771
1454,-0.2109
1455,-0.2292
1456,-0.0699
1457,0.0007
1458,-0.0771
1459,-0.0771
1460,-0.0771
1461,0.0825
1462,-0.0699
1463,-0.0771
1464,-0.1416
1465,-0.1549
1466,-0.0771
1467,-0.0699
1468,-0.2292
1469,-0.0699
1470,-0.0771
1471,0.0007
1472,-0.2292
1473,-0.0699
1474,-0.3033
1475,-0.1416
1476,-0.0699
1477,-0.2109
1478,0.0825
1479,-0.2292
1480,-0.0771
1481,-0.2292
1482,-0.2109
1483,-0.1416
1484,-0.1549
1485,-0.0771
1486,-0.2109
1487,0.0825
1488,-0.0771
1489,-0.1416
1490,-0.2109
1491,-0.2109
1492,-0.0699
1493,-0.1416
1494,-0.0699
1495,0.0007
1496,-0.1416
1497,-0.0699
1498,-0.1416
1499,-0.2233
1500,-0.1416
1501,-0.2233
1502,-0.2233
1503,-0.1416
1504,-0.0771
1505,-0.0771
1506,-0.2109
1507,-0.0699
1508,-0.1416
1509,-0.0771
1510,-0.2783
1511,-0.1416
1512,-0.1416
1513,-0.2292
1514,-0.1549
1515,-0.2292
1516,-0.1416
1517,0.0007
1518,-0.1416
1519,-0.2109
1520,-0.1549
1521,-0.2783
1522,-0.1549
1523,-0.1549
1524,-0.0699
1525,-0.0771
1526,-0.0771
1527,-0.0699
1528,-0.1549
1529,-0.0699
1530,-0.0699
1531,-0.1416
1532,-0.2109
1533,-0.0699
1534,-0.0771
1535,-0.0771
1536,-0.2783
1537,0.0007
1538,-0.1416
1539,-0.0771
1540,-0.2233
1541,-0.1416
1542,-0.2109
1543,-0.0771
1544,-0.2233
1545,-0.0699
1546,-0.0771
1547,-0.0699
1548,-0.2292
1549,-0.2109
1550,-0.0699
1551,-0.2292
1552,-0.2292
1553,0.0007
1554,-0.1416
1555,-0.0699
1556,-0.1549
1557,-0.1416
1558,-0.1416
1559,-0.1549
1560,-0.1549
1561,-0.0771
1562,0.0007
1563,-0.0699
1564,-0.1416
1565,0.0007
1566,-0.2783
1567,-0.1416
1568,0.0007
1569,-0.2233
1570,-0.0771
1571,-0.0771
1572,-0.1416
1573,-0.2109
1574,-0.1549
1575,-0.1549
1576,-0.1549
1577,-0.0771
1578,0.0007
1579,-0.1416
1580,-0.0699
1581,0.0825
1582,-0.0699
1583,-0.1416
1584,-0.2292
1585,0.0007
1586,-0.2292
1587,-0.2233
1588,-0.0699
1589,-0.2109
1590,-0.0699
1591,-0.1549
1592,-0.0771
1593,-0.0771
1594,-0.0699
1595,0.0825
1596,-0.2109
1597,-0.0699
1598,0.0007
1599,-0.0699
1600,-0.1416
1601,-0.0699
1602,-0.1549
1603,-0.2292
1604,-0.2292
1605,-0.1416
1606,-0.1416
1607,-0.2109
1608,-0.0699
1609,0.0825
1610,-0.2109
1611,-0.1549
1612,-0.2292
1613,-0.0699
1614,-0.2233
1615,-0.2292
1616,-0.1416
1617,0.0007
1618,0.0007
1619,-0.1416
1620,-0.0699
1621,0.0007
1622,-0.2292
1623,-0.0771
1624,0.0007
1625,-0.0771
1626,-0.2292
1627,-0.1549
1628,-0.0771
1629,-0.1416
1630,-0.2783
1631,-0.2292
1632,-0.2233
1633,-0.1416
1634,-0.0699
1635,-0.0771
1636,-0.2233
1637,0.0825
1638,-0.0699
1639,-0.0771
1640,-0.0771
1641,-0.2783
1642,-0.2233
1643,-0.2292
1644,-0.2292
1645,0.0007
1646,-0.1416
1647,-0.0699
1648,-0.2109
1649,-0.1416
1650,-0.3598
1651,-0.0699
1652,-0.0771
1653,-0.1549
1654,-0.1416
1655,-0.0771
1656,-0.2109
1657,-0.0699
1658,-0.2233
1659,-0.0771
1660,-0.2233
1661,-0.1549
1662,0.0007
1663,-0.0699
1664,0.0825
1665,-0.1549
1666,-0.1416
1667,-0.0771
1668,-0.0699
1669,-0.2233
1670,-0.1549
1671,-0.2292
1672,-0.0771
1673,-0.0699
1674,-0.1416
1675,0.0825
1676,-0.2292
1677,-0.0699
1678,-0.0699
1679,-0.0771
1680,0.0007
1681,-0.1549
1682,0.0825
1683,0.0007
1684,-0.0699
1685,-0.1416
1686,-0.0699
1687,-0.2109
1688,-0.2292
1689,-0.0699
1690,-0.0771
